areaCode,areaName,areaType,date,newPeopleVaccinatedFirstDoseByVaccinationDate
E06000003,Redcar and Cleveland,utla,2022-01-10,60
E06000014,York,utla,2022-01-10,44
E06000050,Cheshire West and Chester,utla,2022-01-10,65
E08000001,Bolton,utla,2022-01-10,56
E08000016,Barnsley,utla,2022-01-10,16
E08000031,Wolverhampton,utla,2022-01-10,81
E08000032,Bradford,utla,2022-01-10,158
E09000018,Hounslow,utla,2022-01-10,95
E09000032,Wandsworth,utla,2022-01-10,80
E09000033,Westminster,utla,2022-01-10,92
E10000034,Worcestershire,utla,2022-01-10,134
S12000013,Na h-Eileanan Siar,utla,2022-01-10,3
S12000029,South Lanarkshire,utla,2022-01-10,70
S12000045,East Dunbartonshire,utla,2022-01-10,23
E06000003,Redcar and Cleveland,utla,2022-01-09,25
E06000014,York,utla,2022-01-09,109
E06000050,Cheshire West and Chester,utla,2022-01-09,74
E08000001,Bolton,utla,2022-01-09,48
E08000016,Barnsley,utla,2022-01-09,113
E08000031,Wolverhampton,utla,2022-01-09,47
E08000032,Bradford,utla,2022-01-09,84
E09000018,Hounslow,utla,2022-01-09,83
E09000032,Wandsworth,utla,2022-01-09,102
E09000033,Westminster,utla,2022-01-09,35
E10000034,Worcestershire,utla,2022-01-09,87
S12000013,Na h-Eileanan Siar,utla,2022-01-09,2
S12000029,South Lanarkshire,utla,2022-01-09,63
S12000045,East Dunbartonshire,utla,2022-01-09,19
E06000003,Redcar and Cleveland,utla,2022-01-08,31
E06000014,York,utla,2022-01-08,61
E06000050,Cheshire West and Chester,utla,2022-01-08,165
E08000001,Bolton,utla,2022-01-08,115
E08000016,Barnsley,utla,2022-01-08,113
E08000031,Wolverhampton,utla,2022-01-08,105
E08000032,Bradford,utla,2022-01-08,381
E09000018,Hounslow,utla,2022-01-08,174
E09000032,Wandsworth,utla,2022-01-08,127
E09000033,Westminster,utla,2022-01-08,67
E10000034,Worcestershire,utla,2022-01-08,171
S12000013,Na h-Eileanan Siar,utla,2022-01-08,3
S12000029,South Lanarkshire,utla,2022-01-08,88
S12000045,East Dunbartonshire,utla,2022-01-08,35
E06000003,Redcar and Cleveland,utla,2022-01-07,92
E06000014,York,utla,2022-01-07,47
E06000050,Cheshire West and Chester,utla,2022-01-07,80
E08000001,Bolton,utla,2022-01-07,89
E08000016,Barnsley,utla,2022-01-07,65
E08000031,Wolverhampton,utla,2022-01-07,88
E08000032,Bradford,utla,2022-01-07,192
E09000018,Hounslow,utla,2022-01-07,99
E09000032,Wandsworth,utla,2022-01-07,106
E09000033,Westminster,utla,2022-01-07,133
E10000034,Worcestershire,utla,2022-01-07,214
S12000013,Na h-Eileanan Siar,utla,2022-01-07,3
S12000029,South Lanarkshire,utla,2022-01-07,56
S12000045,East Dunbartonshire,utla,2022-01-07,32
E06000003,Redcar and Cleveland,utla,2022-01-06,43
E06000014,York,utla,2022-01-06,37
E06000050,Cheshire West and Chester,utla,2022-01-06,113
E08000001,Bolton,utla,2022-01-06,88
E08000016,Barnsley,utla,2022-01-06,65
E08000031,Wolverhampton,utla,2022-01-06,74
E08000032,Bradford,utla,2022-01-06,200
E09000018,Hounslow,utla,2022-01-06,102
E09000032,Wandsworth,utla,2022-01-06,120
E09000033,Westminster,utla,2022-01-06,101
E10000034,Worcestershire,utla,2022-01-06,149
S12000013,Na h-Eileanan Siar,utla,2022-01-06,3
S12000029,South Lanarkshire,utla,2022-01-06,75
S12000045,East Dunbartonshire,utla,2022-01-06,18
E06000003,Redcar and Cleveland,utla,2022-01-05,39
E06000014,York,utla,2022-01-05,59
E06000050,Cheshire West and Chester,utla,2022-01-05,91
E08000001,Bolton,utla,2022-01-05,158
E08000016,Barnsley,utla,2022-01-05,89
E08000031,Wolverhampton,utla,2022-01-05,135
E08000032,Bradford,utla,2022-01-05,189
E09000018,Hounslow,utla,2022-01-05,102
E09000032,Wandsworth,utla,2022-01-05,85
E09000033,Westminster,utla,2022-01-05,148
E10000034,Worcestershire,utla,2022-01-05,210
S12000013,Na h-Eileanan Siar,utla,2022-01-05,2
S12000029,South Lanarkshire,utla,2022-01-05,72
S12000045,East Dunbartonshire,utla,2022-01-05,31
E06000003,Redcar and Cleveland,utla,2022-01-04,35
E06000014,York,utla,2022-01-04,42
E06000050,Cheshire West and Chester,utla,2022-01-04,148
E08000001,Bolton,utla,2022-01-04,108
E08000016,Barnsley,utla,2022-01-04,96
E08000031,Wolverhampton,utla,2022-01-04,86
E08000032,Bradford,utla,2022-01-04,268
E09000018,Hounslow,utla,2022-01-04,156
E09000032,Wandsworth,utla,2022-01-04,120
E09000033,Westminster,utla,2022-01-04,97
E10000034,Worcestershire,utla,2022-01-04,183
S12000013,Na h-Eileanan Siar,utla,2022-01-04,2
S12000029,South Lanarkshire,utla,2022-01-04,67
S12000045,East Dunbartonshire,utla,2022-01-04,6
E06000003,Redcar and Cleveland,utla,2022-01-03,25
E06000014,York,utla,2022-01-03,10
E06000050,Cheshire West and Chester,utla,2022-01-03,39
E08000001,Bolton,utla,2022-01-03,72
E08000016,Barnsley,utla,2022-01-03,9
E08000031,Wolverhampton,utla,2022-01-03,44
E08000032,Bradford,utla,2022-01-03,167
E09000018,Hounslow,utla,2022-01-03,76
E09000032,Wandsworth,utla,2022-01-03,49
E09000033,Westminster,utla,2022-01-03,69
E10000034,Worcestershire,utla,2022-01-03,158
S12000013,Na h-Eileanan Siar,utla,2022-01-03,1
S12000029,South Lanarkshire,utla,2022-01-03,44
S12000045,East Dunbartonshire,utla,2022-01-03,10
E06000003,Redcar and Cleveland,utla,2022-01-02,40
E06000014,York,utla,2022-01-02,26
E06000050,Cheshire West and Chester,utla,2022-01-02,11
E08000001,Bolton,utla,2022-01-02,84
E08000016,Barnsley,utla,2022-01-02,10
E08000031,Wolverhampton,utla,2022-01-02,66
E08000032,Bradford,utla,2022-01-02,160
E09000018,Hounslow,utla,2022-01-02,36
E09000032,Wandsworth,utla,2022-01-02,47
E09000033,Westminster,utla,2022-01-02,29
E10000034,Worcestershire,utla,2022-01-02,94
S12000013,Na h-Eileanan Siar,utla,2022-01-02,0
S12000029,South Lanarkshire,utla,2022-01-02,0
S12000045,East Dunbartonshire,utla,2022-01-02,0
E06000003,Redcar and Cleveland,utla,2022-01-01,9
E06000014,York,utla,2022-01-01,3
E06000050,Cheshire West and Chester,utla,2022-01-01,0
E08000001,Bolton,utla,2022-01-01,1
E08000016,Barnsley,utla,2022-01-01,0
E08000031,Wolverhampton,utla,2022-01-01,0
E08000032,Bradford,utla,2022-01-01,66
E09000018,Hounslow,utla,2022-01-01,22
E09000032,Wandsworth,utla,2022-01-01,21
E09000033,Westminster,utla,2022-01-01,7
E10000034,Worcestershire,utla,2022-01-01,6
